scope,context_id,segment_count,rollouts,percentage
context,unconditional,0,5,7.8125
context,unconditional,1,16,25.0
context,unconditional,2,4,6.25
context,unconditional,3,9,14.0625
context,unconditional,4,2,3.125
context,unconditional,5,4,6.25
context,unconditional,6,5,7.8125
context,unconditional,7,2,3.125
context,unconditional,8,1,1.5625
context,unconditional,10,1,1.5625
context,unconditional,11,5,7.8125
context,unconditional,12,1,1.5625
context,unconditional,13,3,4.6875
context,unconditional,16,2,3.125
context,unconditional,19,1,1.5625
context,unconditional,31,1,1.5625
context,unconditional,32,1,1.5625
context,unconditional,35,1,1.5625
pooled,,0,5,7.8125
pooled,,1,16,25.0
pooled,,2,4,6.25
pooled,,3,9,14.0625
pooled,,4,2,3.125
pooled,,5,4,6.25
pooled,,6,5,7.8125
pooled,,7,2,3.125
pooled,,8,1,1.5625
pooled,,10,1,1.5625
pooled,,11,5,7.8125
pooled,,12,1,1.5625
pooled,,13,3,4.6875
pooled,,16,2,3.125
pooled,,19,1,1.5625
pooled,,31,1,1.5625
pooled,,32,1,1.5625
pooled,,35,1,1.5625
