horizon,landmark,surviving_rollouts,at_risk_rollouts,excluded_noncanonical_at_landmark,eligible_contexts,informative_contexts,prior_and_future,prior_only,future_only,neither,pooled_future_probability_given_prior,pooled_future_probability_given_no_prior,pooled_future_risk_difference,common_odds_ratio,test_name,test_statistic,p_value,log10_p_value
128,64,44,35,9,1,1,4,4,3,24,0.5,0.1111111111111111,0.3888888888888889,8.0,fisher_exact,,0.03348491788261464,-1.4751507617769597
256,128,42,33,9,1,1,8,2,3,20,0.8,0.13043478260869565,0.6695652173913044,26.666666666666668,fisher_exact,,0.0004249736174096572,-3.371638030347454
512,256,41,32,9,1,1,6,6,3,17,0.5,0.15,0.35,5.666666666666667,fisher_exact,,0.04926841790023068,-1.3074313834980054
1024,512,36,28,8,1,1,8,4,2,14,0.6666666666666666,0.125,0.5416666666666666,14.0,fisher_exact,,0.005409845684445233,-2.266815122943291
2048,1024,31,20,11,1,1,4,3,6,7,0.5714285714285714,0.46153846153846156,0.10989010989010983,1.5555555555555556,fisher_exact,,1.0,0.0
